Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Poland,POL,PLN,19.9,4.00785,4.965255686,3.497363796,23375.43212,-12.737,-15.374,-13.048,63.147,43.025,3.916,-9.857,-5.782,82.494,40.991
Qatar,QAT,QAR,14,3.641,3.845097501,2.460456942,123560.9633,-32.424,-34.466,-32.665,26.341,10.759,-40.871,-48.708,-46.389,3.842,-19.774
Romania,ROU,RON,15.65,4.57225,3.422822462,2.750439367,26917.05583,-39.845,-41.663,-40.059,12.466,-1.405,-29.268,-38.643,-35.869,24.218,-4.032
Saudi Arabia,SAU,SAR,19,3.7506,5.06585613,3.339191564,38678.21523,-10.969,-13.66,-11.287,66.453,45.923,0.481,-12.836,-8.896,76.462,36.331
Singapore,SGP,SGD,6.65,1.3415,4.957137533,1.168717047,97683.3103,-12.88,-15.513,-13.19,62.881,42.791,-18.164,-29.01,-25.801,43.719,11.034
Sweden,SWE,SEK,61.29,10.44965,5.865268215,10.771529,52759.71778,3.08,-0.035,2.713,92.72,68.95,11,-3.712,0.641,94.936,50.603
Thailand,THA,THB,135,35.6775,3.783897414,23.7258348,10447.23324,-33.499,-35.509,-33.736,24.33,8.996,-16.94,-27.948,-24.691,45.868,12.695
Turkey,TUR,TRY,120,30.25475,3.966319338,21.08963093,8346.721219,-30.293,-32.4,-30.542,30.324,14.251,-12.239,-23.871,-20.429,54.124,19.073
Taiwan,TWN,TWD,75,31.3475,2.39253529,13.18101933,73916.18626,-57.952,-59.223,-58.102,-21.387,-31.083,-57.641,-63.255,-61.594,-25.61,-42.528
Ukraine,UKR,UAH,110,37.4443,2.937696792,19.33216169,7707.174315,-48.371,-49.931,-48.555,-3.474,-15.379,-34.84,-43.476,-40.921,14.432,-11.592
Uruguay,URY,UYU,275,39.065,7.039549469,48.33040422,17054.79115,23.718,19.979,23.277,131.304,102.776,50.761,30.779,36.691,164.762,104.549
United States,USA,USD,5.69,1,5.69,1,76343.25,0,-3.022,-0.357,86.961,63.902,0,-13.254,-9.332,75.617,35.678
Venezuela,VEN,VES,178.13,36.1007,4.934253352,31.30579965,,-13.282,-15.903,-13.591,62.129,42.132,,,,,
Vietnam,VNM,VND,74000,24565,3.012416039,13005.27241,7354.566771,-47.058,-48.658,-47.246,-1.019,-13.227,-33.093,-41.96,-39.337,17.501,-9.221
South Africa,ZAF,ZAR,51.9,19.18625,2.705062219,9.121265378,11991.18603,-52.459,-53.896,-52.629,-11.118,-22.08,-40.966,-48.79,-46.475,3.675,-19.903
